 ,Area,Major,Minor,Angle
1,34.810,13.315,3.329,0.000
2,365.505,22.899,20.323,166.300
3,426.423,26.776,20.277,28.976
4,17.405,6.657,3.329,0.000
5,356.803,22.126,20.532,15.025
6,452.530,26.479,21.760,117.222
7,487.340,25.704,24.140,46.788
8,487.340,27.350,22.688,74.396
9,208.860,17.019,15.625,1.496E-13
10,600.473,31.100,24.583,169.751
11,278.480,20.341,17.431,178.077
12,391.613,24.435,20.405,52.319
13,469.935,26.204,22.834,127.467
14,356.803,23.462,19.363,129.083
15,365.505,22.998,20.236,131.169
16,426.423,25.513,21.281,17.352
17,600.473,32.572,23.472,170.196
18,261.075,20.308,16.369,139.371
19,304.588,21.369,18.149,73.128
20,469.935,25.338,23.615,117.956
21,269.778,21.689,15.837,169.906
22,339.398,21.908,19.725,33.690
23,435.125,26.282,21.080,12.420
24,261.075,19.261,17.258,45.001
25,713.605,36.449,24.928,100.820
26,400.315,24.156,21.100,1.603
27,478.638,29.026,20.996,37.473
28,426.423,24.275,22.366,80.597
29,374.208,24.509,19.440,164.989
30,435.125,26.595,20.832,10.262
31,678.795,30.401,28.429,95.636
32,304.588,20.929,18.530,76.356
33,147.943,15.425,12.212,164.828
34,261.075,19.261,17.258,135.000
35,295.885,20.868,18.053,1.264E-13
36,487.340,25.870,23.985,88.994
37,365.505,22.129,21.030,32.178
38,321.993,21.563,19.013,155.743
39,304.588,21.290,18.215,115.131
40,313.290,22.154,18.005,16.397
41,635.283,31.616,25.584,16.316
42,374.208,22.765,20.929,45.002
43,556.960,28.285,25.072,90.000
44,583.067,30.587,24.271,138.896
45,261.075,20.530,16.192,81.496
46,417.720,23.952,22.205,147.283
47,278.480,20.540,17.262,77.004
48,574.365,30.689,23.830,161.553
49,217.562,17.637,15.706,66.419
50,243.670,18.652,16.633,41.807
51,391.613,23.878,20.882,64.407
52,670.093,34.917,24.435,140.483
53,287.183,21.056,17.366,94.698
54,339.398,23.416,18.454,85.488
55,409.018,27.815,18.723,87.414
56,287.183,20.005,18.278,154.645
57,374.208,22.752,20.941,155.220
58,234.968,17.829,16.780,90.000
59,583.067,28.719,25.850,41.697
60,452.530,25.577,22.527,136.189
61,696.200,33.905,26.145,32.135
62,156.645,15.010,13.288,154.594
63,487.340,24.973,24.847,0.000
64,17.405,6.657,3.329,90.000
65,469.935,25.764,23.223,114.859
66,321.993,22.060,18.585,82.205
67,356.803,21.577,21.055,96.350
68,321.993,21.274,19.271,152.330
69,365.505,22.923,20.302,69.897
70,469.935,26.475,22.600,162.709
71,443.828,25.277,22.356,58.205
72,261.075,19.698,16.875,180.000
73,287.183,21.642,16.896,55.930
74,635.283,35.680,22.670,161.351
75,382.910,24.114,20.218,63.393
76,400.315,24.805,20.548,90.000
77,147.943,15.425,12.212,15.172
78,426.423,24.543,22.122,44.082
79,652.688,30.330,27.399,71.165
80,313.290,21.748,18.342,162.971
81,295.885,22.850,16.487,171.936
82,356.803,23.280,19.514,134.999
83,409.018,23.259,22.390,45.006
84,200.158,16.028,15.900,90.000
85,400.315,25.685,19.844,129.333
86,452.530,30.616,18.820,173.246
87,313.290,20.940,19.049,90.000
88,469.935,28.402,21.067,179.707
89,147.943,14.026,13.429,0.000
90,365.505,22.998,20.236,41.169
91,365.505,22.865,20.353,142.513
92,339.398,21.686,19.927,150.625
93,435.125,24.939,22.215,174.433
94,330.695,23.800,17.691,7.338
95,496.043,29.916,21.112,90.819
96,261.075,19.261,17.258,45.001
97,182.753,15.254,15.254,0.000
98,487.340,28.211,21.995,119.450
99,643.985,43.873,18.689,24.023
100,548.258,28.317,24.652,68.049
101,304.588,22.134,17.521,35.991
102,261.075,20.170,16.480,62.183
103,548.258,29.041,24.037,102.559
104,487.340,26.130,23.747,69.523
105,469.935,27.298,21.919,63.621
106,574.365,29.762,24.572,112.502
107,356.803,24.640,18.437,148.399
108,226.265,17.915,16.081,105.051
109,530.853,29.129,23.204,163.153
110,678.795,35.533,24.323,63.736
111,200.158,16.983,15.006,69.298
112,504.745,26.193,24.536,31.581
113,382.910,25.545,19.085,57.584
114,626.580,29.556,26.992,105.300
115,687.498,30.884,28.344,178.281
116,348.100,22.252,19.918,105.710
117,287.183,20.038,18.248,148.927
118,382.910,23.048,21.153,91.149
119,365.505,22.521,20.664,92.482
120,635.283,35.226,22.962,65.413
121,278.480,18.830,18.830,0.000
122,565.663,29.781,24.184,79.537
123,295.885,20.207,18.644,18.435
124,409.018,25.234,20.638,129.949
125,435.125,24.475,22.636,116.922
126,461.233,27.538,21.325,37.433
127,121.835,13.208,11.745,180.000
128,443.828,27.168,20.800,83.662
129,600.473,29.017,26.348,13.093
130,391.613,23.960,20.810,67.519
131,591.770,28.190,26.729,17.452
132,713.605,41.582,21.850,169.818
133,348.100,25.325,17.501,34.286
134,348.100,24.181,18.329,80.950
135,426.423,31.918,17.011,84.564
136,330.695,22.665,18.577,74.175
137,374.208,23.564,20.219,4.571
138,287.183,20.255,18.052,126.713
139,356.803,21.585,21.047,40.935
140,113.133,14.947,9.637,90.000
141,339.398,22.988,18.798,177.765
142,426.423,26.228,20.701,61.023
143,147.943,14.889,12.651,131.645
144,295.885,21.709,17.354,78.879
145,356.803,23.487,19.342,52.251
146,435.125,24.413,22.693,127.404
147,339.398,21.768,19.852,45.002
148,478.638,26.847,22.699,36.362
149,417.720,27.019,19.685,119.910
150,348.100,24.621,18.001,17.039
151,348.100,23.379,18.957,80.478
152,339.398,21.572,20.032,42.849
153,182.753,15.718,14.804,110.301
154,356.803,22.329,20.346,63.841
155,356.803,24.089,18.859,16.173
156,496.043,26.791,23.574,114.665
157,191.455,16.738,14.564,4.655
158,400.315,25.061,20.338,53.452
159,252.373,18.456,17.411,60.692
160,426.423,25.375,21.397,111.074
161,556.960,28.128,25.211,106.903
162,565.663,32.240,22.340,82.816
163,208.860,18.361,14.483,90.000
164,313.290,22.510,17.721,133.650
165,687.498,32.738,26.738,179.429
166,548.258,27.263,25.605,125.868
167,374.208,24.079,19.787,96.179
168,461.233,27.344,21.477,47.535
169,348.100,21.430,20.682,18.924
170,104.430,12.284,10.824,19.805
171,60.918,9.105,8.519,90.000
172,443.828,32.567,17.352,91.819
173,365.505,23.028,20.209,108.083
174,365.505,22.129,21.030,122.178
175,643.985,31.565,25.976,112.203
176,382.910,25.622,19.028,68.943
177,400.315,24.517,20.789,148.332
178,487.340,26.329,23.567,104.908
179,252.373,18.494,17.375,124.695
180,565.663,30.623,23.519,4.236
181,417.720,26.931,19.749,42.584
182,113.133,12.860,11.201,166.224
183,382.910,24.523,19.881,3.406
