 ,Area,X,Y,Major,Minor,Angle
1,438.730,609.885,9.344,25.605,21.816,179.895
2,508.261,800.614,17.936,26.926,24.034,60.657
3,459.296,267.670,20.719,26.081,22.422,105.145
4,260.496,103.264,19.926,19.044,17.416,44.595
5,203.696,676.891,20.434,18.303,14.170,46.030
6,132.207,62.239,20.140,13.522,12.449,46.045
7,519.033,897.519,29.371,27.200,24.296,67.961
8,326.110,560.076,29.318,21.804,19.043,47.178
9,512.178,727.183,32.715,26.385,24.715,106.228
10,404.454,759.549,39.782,25.247,20.397,30.221
11,353.530,842.433,40.188,23.085,19.499,161.075
12,549.392,133.480,43.984,28.246,24.765,168.903
13,555.268,210.889,43.234,29.772,23.747,164.737
14,156.689,463.312,38.632,15.458,12.906,50.685
15,333.944,979.241,41.858,22.756,18.685,44.258
16,281.061,314.212,43.034,20.104,17.800,80.582
17,473.985,41.291,49.092,24.706,24.427,152.874
18,643.405,925.188,51.859,29.186,28.069,162.719
19,287.917,87.771,48.332,20.566,17.825,29.673
20,259.517,639.037,48.937,19.409,17.024,17.840
21,374.096,583.299,53.744,24.138,19.733,42.486
22,375.075,672.201,55.452,23.979,19.916,92.244
23,371.158,805.596,73.331,21.853,21.625,87.581
24,719.791,294.135,79.241,33.201,27.604,86.967
25,461.254,874.316,76.902,25.699,22.853,99.794
26,342.758,234.326,74.952,21.506,20.293,29.743
27,246.786,705.546,74.251,18.278,17.191,77.686
28,478.882,90.006,79.507,27.074,22.521,46.960
29,304.565,191.163,76.153,21.398,18.122,12.635
30,306.523,769.136,77.048,22.311,17.493,101.129
31,143.958,665.109,82.652,13.958,13.132,157.689
32,444.606,614.088,90.276,24.207,23.385,32.103
33,138.082,839.346,84.969,14.105,12.465,126.291
34,134.165,355.667,88.056,13.561,12.596,23.219
35,327.089,42.982,96.000,21.528,19.345,131.350
36,318.275,952.794,98.684,20.925,19.366,108.643
37,504.344,150.022,103.073,28.359,22.643,94.314
38,430.896,449.058,102.282,23.738,23.112,45.963
39,175.296,738.781,101.804,15.488,14.411,144.246
40,225.241,112.006,105.281,17.927,15.998,75.988
